site	ref	group_idx	latitude	longitude	lake_type	climate_class	surface_area_km2	mean_depth_m	hylak_id	hylak_lake_name	hylak_lake_area	hylak_vol_total	hylak_depth_avg
Lake Tai; Lake Tai-1; Lake Tai-10; Lake Tai-2; Lake Tai-3; Lake Tai-4; Lake Tai-5; Lake Tai-6; Lake Tai-7; Lake Tai-8; Lake Tai-9; Lake Tai-East bay; Lake Tai-Hangjiahu; Lake Tai-Huxi; Lake Tai-Meiliang; Lake Tai-Open lake; Lake Tai-Wuchengxiyu; Lake Tai-Wuli; Lake Tai-Yangchengdianmao; Lake Tai-Zhexi; Lake Taihu	1001; 1002; 1003; 1005; 1006; 1031; 1098; 1105; 1106; 1112; 1113; 1124; 1141; 1160; 1165; 1184; 1218; 1224	6	31.231	120.22	lake	14	2338	1.9	148	Tai	2329.14	5140	2.2
Lake Taihu CL; Lake Taihu GH; Lake Taihu MLW; Lake Taihu NWL; Lake Taihu SWL	201	6	31.2382	120.1414	lake	14	2340		148	Tai	2329.14	5140	2.2
Taihu	328	6	31.238737	120.182661	lake	14	2400	1.7	148	Tai	2329.14	5140	2.2
Three Gorges Dam (Daning Bay)	325	30	31.253353	109.808973	reservoir	14	1080	70	1453	Three Gorges Reservoir	852.97	39300	46.1
Gucheng Lake	1141	66	31.29	118.94	lake	14	24.3	1.6	15206		30.74	30.74	1
Xuanmiaoguan	1178	488	31.305552	111.335808	reservoir	11							
Shahe	1085	137	31.31139	119.439293	reservoir	14			175596		9.05	10	1.1
Bhakra- Nangal	176	65	31.412365	76.478974	reservoir	11			15194	Govind	91.94	9621	104.6
"Bhakra-Nangal, Himachal Pradesh Reservoir"	177	65	31.41532	76.442228	reservoir	11			15194	Govind	91.94	9621	104.6
Xiangcheng	1085	29	31.485466	120.783346	reservoir	14			1438	Yangcheng	124.24	213.59	1.7
Chaohu Lake- C1; Chaohu Lake- C2; Chaohu Lake- C3; Chaohu Lake- C4; Chaohu Lake- C5; Chaohu Lake- C6; Chaohu Lake- C7	134	27	31.521437	117.566814	lake	14	783		1430	Chao	786.91	2070	2.6
Valentine Lake	1191	202	31.526175	101.696046	lake	29	0.5		1376122		0.11	0.95	8.6
Lake Chaohu 1; Lake Chaohu 10; Lake Chaohu 11; Lake Chaohu 12; Lake Chaohu 13; Lake Chaohu 14; Lake Chaohu 15; Lake Chaohu 16; Lake Chaohu 17; Lake Chaohu 18; Lake Chaohu 19; Lake Chaohu 2; Lake Chaohu 20; Lake Chaohu 3; Lake Chaohu 4; Lake Chaohu 5; Lake Chaohu 6; Lake Chaohu 7; Lake Chaohu 8; Lake Chaohu 9	281	27	31.548468	117.573064	lake	14	770		1430	Chao	786.91	2070	2.6
Zhongmiao	1085	27	31.58333	117.4667	reservoir	14			1430	Chao	786.91	2070	2.6
Chao Lake	1008; 1127; 1141; 1147; 1174; 1197; 1213; 1224	27	31.596	117.406	lake	14	780	2.9	1430	Chao	786.91	2070	2.6
Ge Lake	1141; 1224	28	31.63	119.84	lake	14	166.7	1.3	1434	Ge	161.56	475.87	2.9
Yulongla Tso	1191	136	31.854	99.1136	lake	29	6.2	10	175440		2.2	56.84	25.8
Reservoir	266	135	31.975938	119.199161	reservoir	14			175403		3.01	30	10
Ponds	266	501	31.988174	119.218732	lake	14	0.015						
Huashen Lake	1141	489	31.989028	118.78173	lake	14	0.056						
Ang Tso	1191	201	32.006	99.007	lake	29	0.293	13.7	1375377		0.18	1.35	7.6
; Central Park	1173; 1199	490	32.031342	118.449568	lake	14	0.02						
Wulongtan Lake	1049	200	32.04	118.76	lake	14	0.027	1.6	1375326		0.25	0.55	2.2
; Lvshuiwan Park	1173; 1199	491	32.067001	118.679561	lake	14	0.009						
Xuanwu Lake-1; Xuanwu Lake-10; Xuanwu Lake-2; Xuanwu Lake-3; Xuanwu Lake-4; Xuanwu Lake-5; Xuanwu Lake-6; Xuanwu Lake-7; Xuanwu Lake-8; Xuanwu Lake-9	1031; 1089	134	32.075	118.803	lake	14	3.78	1.5	175371		3.2	11.29	3.5
; Dayan	1173; 1199	492	32.13277	118.61634	reservoir	14	0.065						
	1199	493	32.154172	118.58109	lake	14	0.0085						
Xigenglian	1173	494	32.167273	118.592421	lake	14	0.015						
Pond	1180	495	32.1874	118.701348	lake	14	0.015						
Dingjie	1042	496	32.2	118.73	lake	14	0.126						
	1199	497	32.258	119.034	lake	14							
Chu	1173	498	32.258476	119.034836	lake	14	0.006						
	1199	199	32.326	118.815	reservoir	14			1374858		0.34	0.6	1.8
Longchi	1173	199	32.327324	118.810979	reservoir	14	0.33	4	1374858		0.34	0.6	1.8
	1199	499	32.454118	118.848563	reservoir	14							
Baiyunwa	1173	499	32.454619	118.848484	reservoir	14							
no name	1199	133	32.473	119.002	reservoir	14			175252		8.93	100	11.2
Taurus Lake	1173	133	32.474	119.002	reservoir	14	23.5		175252		8.93	100	11.2
no name	1199	132	32.479	118.764	reservoir	14			175251		2.63	6.21	2.4
Shanhu	1173	132	32.479	118.765	reservoir	14			175251		2.63	6.21	2.4
Taurus Lake	1042; 1173	133	32.483	118.963	reservoir	14	23.5		175252		8.93	100	11.2
no name	1199	133	32.483	118.964	reservoir	14			175252		8.93	100	11.2
Danjiangkou Reservoir	138	26	32.74	111.57	reservoir	11	745		1417	Han Shui	286.45	20890	72.9
Lake Kinneret	94	25	32.790955	35.588314	lake	8	168		1414	Tiberias	162.06	3800.27	23.5
