site_numeric,site,longitude_reported,latitude_reported,longitude_snapped,latitude_snapped,distance_snapped,catchment_area_reported,river_width,catchment_area_snapped,catchment_area_h90m,order_orig_coords,order_snapped_coords,slope_channel,elevation_m
4,Boambee Creek,153.066373,-30.334196,153.0679167,-30.33458333,154.4544583,4.426322,7,5.609466553,0.015555909,NA,3,0.006984,16
5,Coffs Creek,153.113221,-30.292198,153.1145833,-30.29291667,153.4520016,12.26112,8,12.79605007,12.14279556,4,4,0,11
6,Ferntree Creek,153.125743,-30.28794,153.12625,-30.28875,102.4963721,4.014387,7,6.04434967,0.015150233,NA,3,0.00388,1
7,Pine brush Creek,153.133111,-30.251623,153.1345833,-30.25041667,195.1370231,6.637777,6,6.377048016,4.651798725,3,3,0,17
9,hea,153.189837,-30.136705,153.19125,-30.13625,145.156837,1.674437,5,4.767704487,0.014261086,NA,3,0.004443,9
10,Hearnes lake,153.19342,-30.136371,153.1920833,-30.13625,129.3876905,4.301612,17,4.80537796,4.678369045,3,3,0,13
11,Woolgoolga Creek,153.181119,-30.112899,153.1820833,-30.11291667,92.8819145,13.716592,9,14.14169979,0.017098978,NA,4,0,16
12,Arrawarra Creek,153.183228,-30.066155,153.1845833,-30.06541667,154.2891629,4.164272,7,4.575252533,0.007431014,NA,3,0,29
13,Corindi Creek,153.119669,-30.039261,153.1204167,-30.03958333,80.4909692,53.639032,14,0.58363992,0.015794354,NA,2,0.01164,34
14,SSC3,152.90512,-28.97926,152.9070833,-28.97958333,194.5510314,NA,9,129.1821136,0.007746454,NA,6,0,59
15,SSC2,152.92583,-28.9526,152.9270833,-28.95291667,127.0705132,NA,8,20.57111931,0.007617644,NA,5,0.002222,53
16,SSC4,152.97314,-28.94683,152.9745833,-28.94708333,143.3985508,NA,13,209.4647064,0.031584278,NA,6,0,38
17,SSC8,153.061874,-28.943272,153.06375,-28.94291667,186.9837694,NA,11,206.9927063,206.8053284,6,6,0,29
18,SSC7,153.00479,-28.93158,153.00625,-28.93125,146.9101084,NA,12,0.18124488,0.136031851,1,1,0.000776,33
19,SSC10,153.15788,-28.92701,153.15875,-28.92625,119.7613168,606,11,565.682251,565.6532593,6,6,0,8
20,SSC6,152.97397,-28.92302,152.9729167,-28.92375,130.9075722,NA,11,0.668971479,0.074987717,NA,2,0,36
21,SSC9,153.11228,-28.92177,153.11375,-28.92125,154.4860089,NA,11,523.9102173,0.045925733,NA,6,0,21
