Reference,Authors,Title,Journal,Year,DOI,Database
206,"A. Raturi, H. Singh, P. Kumar, A. Chanda and N. Shukla","Characterizing the post-monsoon CO2, CH4, N2O, and H2O vapor fluxes from a tropical wetland in the Himalayan foothill",ENVIRONMENTAL MONITORING AND ASSESSMENT,2022,10.1007/s10661-021-09721-8,Wetlands
207,P. C. J. Reis and F. A. R. Barbosa,Diurnal sampling reveals significant variation in CO2 emission from a tropical productive lake,BRAZILIAN JOURNAL OF BIOLOGY,2014,10.1590/1519-6984.01713,Lakes
208,"P. C. J. Reis, C. Ruiz-Gonzalez, S. Crevecoeur, C. Soued and Y. T. Prairie",Rapid shifts in methanotrophic bacterial communities mitigate methane emissions from a tropical hydropower reservoir and its downstream river,SCIENCE OF THE TOTAL ENVIRONMENT,2020,10.1016/j.scitotenv.2020.141374,Rivers; Lakes
209,"R. P. Ribeiro, L. F. P. Alves, C. B. de Cerqueira, L. M. Mombrini and H. B. P. Ferreira",Effects of untreated or insufficiently treated wastewater discharges on the spatial and temporal variability of nitrous oxide (N2O) emissions from different streams in southeastern Brazil,WATER SCIENCE AND TECHNOLOGY,2021,10.2166/wst.2021.043,Rivers
210,"S. Richard, C. Galy-Lacaux, A. Arnoux, P. Cerdan, R. Delmas, J. F. Dumestre, P. Gosse, V. Horeau, L. Labroue and C. Sissakian",Evolution of physico-chemical water quality and methane emissions in the tropical hydroelectric reservoir of Petit Saut (French Guiana),Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2000,10.1080/03680770.1998.11901478,Lakes
211,"J. E. Richey, A. H. Devol, S. C. Wofsy, R. Victoria and M. N. G. Riberio",Biogenic gases and the oxidation and reduction of carbon in Amazon River and floodplain waters,LIMNOLOGY AND OCEANOGRAPHY,1988,10.4319/lo.1988.33.4.0551,Rivers
212,"C. Rocha, M. A. dos Santos, B. Matvienko, L. P. Rosa, E. O. dos Santos, E. Sikar, M. B. Silva and A. M. R. Bentes",Evaluation of dissolved carbon dioxide and methane at three tropical hydroelectric reservoirs,Internationale Vereinigung für Theoretische und Angewandte Limnologie: Verhandlungen,2009,10.1080/03680770.2009.11902253,Lakes
213,D. C. Rodríguez and G. A. Peñuela,Estimation of greenhouse gas emissions of a tropical reservoir in Colombia,JOURNAL OF WATER AND CLIMATE CHANGE,2022,10.2166/wcc.2022.330,Lakes
214,M. Rodriguez and P. Casper,Greenhouse gas emissions from a semi-arid tropical reservoir in northeastern Brazil,REGIONAL ENVIRONMENTAL CHANGE,2018,10.1007/s10113-018-1289-7,Lakes
215,"J. P. Rogerio, M. A. Santos and E. O. Santos",Influence of environmental variables on diffusive greenhouse gas fluxes at hydroelectric reservoirs in Brazil,BRAZILIAN JOURNAL OF BIOLOGY,2014,10.1590/S1519-698420130004000011,Lakes
216,"F. Roland, L. O. Vidal, F. S. Pacheco, N. O. Barros, A. Assireu, J. Ometto, A. C. P. Cimbleris and J. J. Cole",Variability of carbon dioxide flux from tropical (Cerrado) hydroelectric reservoirs,AQUATIC SCIENCES,2010,10.1007/s00027-010-0140-0,Lakes
217,"F. A. E. Roland, F. Darchambeau, C. Morana and A. V. Borges","Nitrous oxide and methane seasonal variability in the epilimnion of a large tropical meromictic lake (Lake Kivu, East-Africa)",AQUATIC SCIENCES,2017,10.1007/s00027-016-0491-2,Lakes
218,"F. A. E. Roland, C. Morana, F. Darchambeau, S. A. Crowe, B. Thamdrup, J. P. Descy and A. V. Borges",Anaerobic methane oxidation and aerobic methane production in an east African great lake (Lake Kivu),JOURNAL OF GREAT LAKES RESEARCH,2018,10.1016/j.jglr.2018.04.003,Lakes
219,"A. Rosenqvist, B. R. Forsberg, T. Pimentel and J. E. Richey",Using JERS-1 L-band SAR to estimate methane emissions from the Jau river floodplain (Amazon/Brazil),1998 IEEE International Geoscience and Remote Sensing. Symposium Proceedings,1998,10.1109/IGARSS.1998.691651,Wetlands
221,"C. M. Rudorff, J. M. Melack, S. MacIntyre, C. C. F. Barbosa and E. M. L. M. Novo",Seasonal and spatial variability of CO2 emission from a large floodplain lake in the lower Amazon,Journal of Geophysical Research: Biogeosciences,2011,10.1029/2011JG001699,Wetlands
222,"H. O. Sawakuchi, D. Bastviken, A. Enrich-Prast, N. D. Ward, P. B. Camargo and J. E. Richey",Low Diffusive Methane Emissions From the Main Channel of a Large Amazonian Run-of-the-River Reservoir Attributed to High Methane Oxidation,FRONTIERS IN ENVIRONMENTAL SCIENCE,2021,10.3389/fenvs.2021.655455,Rivers
223,"H. O. Sawakuchi, D. Bastviken, A. O. Sawakuchi, A. V. Krusche, M. V. R. Ballester and J. E. Richey",Methane emissions from Amazonian Rivers and their contribution to the global methane budget,GLOBAL CHANGE BIOLOGY,2014,10.1111/gcb.12646,Rivers
224,"H. O. Sawakuchi, D. Bastviken, A. O. Sawakuchi, N. D. Ward, C. D. Borges, S. M. Tsai, J. E. Richey, M. V. R. Ballester and A. V. Krusche",Oxidative mitigation of aquatic methane emissions in large Amazonian rivers,GLOBAL CHANGE BIOLOGY,2016,10.1111/gcb.13169,Lakes
225,"H. O. Sawakuchi, V. Neu, N. D. Ward, M. d. L. C. Barros, A. M. Valerio, W. Gagne-Maynard, A. C. Cunha, D. F. S. Less, J. E. M. Diniz, D. C. Brito, A. V. Krusche and J. E. Richey",Carbon Dioxide Emissions along the Lower Amazon River,Frontiers in Marine Science,2017,10.3389/fmars.2017.00076,Rivers
227,"C. L. Schneider, M. Herrera, M. L. Raisle, A. R. Murray, K. M. Whitmore, A. C. Encalada, E. Suárez and D. A. Riveros-Iregui",Carbon Dioxide (CO2) Fluxes From Terrestrial and Aquatic Environments in a High-Altitude Tropical Catchment,Journal of Geophysical Research: Biogeosciences,2020,10.1029/2020JG005844,Rivers
228,"V. Scofield, J. M. Melack, P. M. Barbosa, J. H. F. Amaral, B. R. Forsberg and V. F. Farjalla",Carbon dioxide outgassing from Amazonian aquatic ecosystems in the Negro River basin,BIOGEOCHEMISTRY,2016,10.1007/s10533-016-0220-x,Rivers
230,"B. P. Selvam, S. Natchimuthu, L. Arunachalam and D. Bastviken",Methane and carbon dioxide emissions from inland waters in India - implications for large scale greenhouse gas balances,GLOBAL CHANGE BIOLOGY,2014,10.1111/gcb.12575,Rivers; Lakes
232,"S. Sjögersten, A. Siegenthaler, O. R. Lopez, P. Aplin, B. Turner and V. Gauci",Methane emissions from tree stems in neotropical peatlands,NEW PHYTOLOGIST,2020,10.1111/nph.16178,Wetlands
233,"L. K. Smith, W. M. Lewis, J. P. Chanton, G. Cronin and S. K. Hamilton","Methane emissions from the Orinoco River floodplain, Venezuela",BIOGEOCHEMISTRY,2000,10.1023/A:1006443429909,Rivers
234,"M. V. Sorribas, D. da Motta Marques, N. M. d. R. Castro and F. M. Fan",Fluvial carbon export and CO2 efflux in representative nested headwater catchments of the eastern La Plata River Basin,Hydrological Processes,2017,10.1002/hyp.11076,Rivers
235,C. Soued and Y. T. Prairie,Changing sources and processes sustaining surface CO2 and CH4 fluxes along a tropical river to reservoir system,BIOGEOSCIENCES,2021,10.5194/bg-18-1333-2021,Lakes
237,"K. Sturm, Z. Yuan, B. Gibbes, U. Werner and A. Grinham","Methane and nitrous oxide sources and emissions in a subtropical freshwater reservoir, South East Queensland, Australia",BIOGEOSCIENCES,2014,10.5194/bg-11-5245-2014,Lakes
238,"F. Tamooh, A. V. Borges, F. J. R. Meysman, K. Van Den Meersche, F. Dehairs, R. Merckx and S. Bouillon","Dynamics of dissolved inorganic carbon and aquatic metabolism in the Tana River basin, Kenya",BIOGEOSCIENCES,2013,10.5194/bg-10-6911-2013,Rivers
239,"W. Tang, Y. Jun Xu and S. Li",Rapid urbanization effects on partial pressure and emission of CO2 in three rivers with different urban intensities,ECOLOGICAL INDICATORS,2021,10.1016/j.ecolind.2021.107515,Rivers
240,"J. P. Tathy, B. Cros, R. A. Delmas, A. Marenco, J. Servant and M. Labat",Methane emission from flooded forest in central Africa,Journal of Geophysical Research,1992,10.1029/90JD02555,Wetlands
241,"C. R. Teodoru, F. C. Nyoni, A. V. Borges, F. Darchambeau, I. Nyambe and S. Bouillon","Dynamics of greenhouse gases (CO2, CH4, N2O) along the Zambezi River and major tributaries, and their importance in the riverine carbon budget",BIOGEOSCIENCES,2015,10.5194/bg-12-2431-2015,Rivers
242,"D. Tonetta, P. A. Staehr, B. Obrador, L. P. M. Brandão, L. S. Brighenti, M. M. Petrucio, F. A. R. Barbosa and J. F. Bezerra-Neto",Effects of nutrients and organic matter inputs in the gases CO2 and O2: A mesocosm study in a tropical lake,Limnologica,2018,10.1016/j.limno.2018.02.001,Lakes
243,"D. Tonetta, P. A. Staehr and M. M. Petrucio",Changes in CO2 dynamics related to rainfall and water level variations in a subtropical lake,HYDROBIOLOGIA,2017,10.1007/s10750-017-3085-7,Lakes
244,"S. C. Tyler, P. R. Zimmerman, C. Cumberbatch, J. P. Greenberg, C. Westberg and J. Darlington","MEASUREMENTS AND INTERPRETATION OF delta C-13 OF METHANE FROM TERMITES, RICE PADDIES, AND WETLANDS IN KENYA",GLOBAL BIOGEOCHEMICAL CYCLES,1988,10.1029/GB002i004p00341,Wetlands
245,"R. C. Upstill-Goddard, M. E. Salter, P. J. Mann, J. Barnes, J. Poulsen, B. Dinga, G. J. Fiske and R. M. Holmes","The riverine source of CH4 and N2O from the Republic of Congo, western Congo Basin",BIOGEOSCIENCES,2017,10.5194/bg-14-2267-2017,Rivers
248,"L. E. Vihermaa, S. Waldron, T. Domingues, J. Grace, E. G. Cosio, F. Limonchi, C. Hopkinson, H. R. da Rocha and E. Gloor",Fluvial carbon export from a lowland Amazonian rainforest in relation to atmospheric fluxes,Journal of Geophysical Research: Biogeosciences,2016,10.1002/2016JG003464,Rivers
249,"L. E. Vihermaa, S. Waldron, M. H. Garnett and J. Newton",Old carbon contributes to aquatic emissions of carbon dioxide in the Amazon,BIOGEOSCIENCES,2014,10.5194/bg-11-3635-2014,Rivers
250,"S. Waldron, L. Vihermaa, S. Evers, M. H. Garnett, J. Newton and A. C. G. Henderson","C mobilisation in disturbed tropical peat swamps: old DOC can fuel the fluvial efflux of old carbon dioxide, but site recovery can occur",SCIENTIFIC REPORTS,2019,10.1038/s41598-019-46534-9,Wetlands
251,"C. Wang, J. Sardans, C. Tong, J. Penuelas and W. Q. Wang",Typhoon-induced increases in porewater nutrient concentrations and CO2 and CH4 emissions associated with salinity and carbon intrusion in a subtropical tidal wetland in China: A mesocosm study,GEODERMA,2021,10.1016/j.geoderma.2020.114800,Wetlands
252,"F. S. Wang, M. Cao, B. L. Wang, J. N. Fu, W. Y. Luo and J. Ma",Seasonal variation of CO2 diffusion flux from a large subtropical reservoir in East China,ATMOSPHERIC ENVIRONMENT,2015,10.1016/j.atmosenv.2014.12.042,Lakes
253,"X. F. Wang, Y. X. He, H. Chen, X. Z. Yuan, C. H. Peng, J. S. Yue, Q. Y. Zhang and L. L. Zhou",CH4 concentrations and fluxes in a subtropical metropolitan river network: Watershed urbanization impacts and environmental controls,SCIENCE OF THE TOTAL ENVIRONMENT,2018,10.1016/j.scitotenv.2017.12.054,Rivers
254,"X. F. Wang, Y. X. He, X. Z. Yuan, H. Chen, C. H. Peng, J. S. Yue, Q. Y. Zhang, Y. B. Diao and S. S. Liu",Greenhouse gases concentrations and fluxes from subtropical small reservoirs in relation with watershed urbanization,ATMOSPHERIC ENVIRONMENT,2017,10.1016/j.atmosenv.2017.01.047,Lakes
256,"R. Wassmann, U. G. Thein, M. J. Whiticar, H. Rennenberg, W. Seiler and W. J. Junk",METHANE EMISSIONS FROM THE AMAZON FLOODPLAIN: CHARACTERIZATION OF PRODUCTION AND TRANSPORT,GLOBAL BIOGEOCHEMICAL CYCLES,1992,10.1029/91GB01767,Wetlands
257,N. S. Wells and B. Eyre,Flow regulates biological NO3- and N2O production in a turbid sub-tropical stream,GEOCHIMICA ET COSMOCHIMICA ACTA,2021,10.1016/j.gca.2021.05.026,Rivers
259,"D. Were, F. Kansiime, T. Fetahi and T. Hein",Carbon Dioxide and Methane Fluxes from a Tropical Freshwater Wetland Under Natural and Rice Paddy Conditions: Implications for Climate Change Mitigation,WETLANDS,2021,10.1007/s13157-021-01451-4,Wetlands
260,"D. Were, F. Kansiime, T. Fetahi and T. Hein",Carbon Dioxide and Methane Fluxes from Various Vegetation Communities of a Natural Tropical Freshwater Wetland in Different Seasons,ENVIRONMENTAL PROCESSES-AN INTERNATIONAL JOURNAL,2021,10.1007/s40710-021-00497-0,Wetlands
261,"K. M. Whitmore, N. Stewart, A. C. Encalada, E. Suárez and D. A. Riveros_Iregui",Spatiotemporal variability of gas transfer velocity in a tropical high_elevation stream using two independent methods,Ecosphere,2021,10.1002/ecs2.3647,Rivers
262,"F. Wit, D. Müller, A. Baum, T. Warneke, W. S. Pranowo, M. Müller and T. Rixen",The impact of disturbed peatlands on river outgassing in Southeast Asia,NATURE COMMUNICATIONS,2015,10.1038/ncomms10155,Rivers
263,"H. B. Wu, Q. Zhao, Q. Z. Gao, Y. E. Li, Y. F. Wan, Y. Li, D. Tian, Y. L. Liao, M. R. Fan, H. Ganjurjav, G. Z. Hu, B. Wang, X. Chen and X. B. Qin",Human Activities Inducing High CH4 Diffusive Fluxes in an Agricultural River Catchment in Subtropical China,SUSTAINABILITY,2020,10.3390/su12052114,Rivers
264,"S. Wu, S. Li, Z. Zou, T. Hu, Z. Hu, S. Liu and J. Zou",High Methane Emissions Largely Attributed to Ebullitive Fluxes from a Subtropical River Draining a Rice Paddy Watershed in China,Environmental Science and Technology,2019,10.1021/acs.est.8b05286,Rivers
265,"S. Wu, T. R. Zhang, X. T. Fang, Z. Q. Hu, J. Hu, S. W. Liu and J. W. Zou",Spatial-temporal variability of indirect nitrous oxide emissions and emission factors from a subtropical river draining a rice paddy watershed in China,AGRICULTURAL AND FOREST METEOROLOGY,2021,10.1016/j.agrformet.2021.108519,Rivers
266,"Q. Xiao, Z. Hu, C. Hu, A. R. M. T. Islam, H. Bian, S. Chen, C. Liu and X. Lee",A highly agricultural river network in Jurong Reservoir watershed as significant CO2 and CH4 sources,SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2020.144558,Rivers; Lakes
267,"Q. Xiao, X. Xu, H. Duan, T. Qi, B. Qin, X. Lee, Z. Hu, W. Wang, W. Xiao and M. Zhang",Eutrophic Lake Taihu as a significant CO2 source during 2000–2015,WATER RESEARCH,2020,10.1016/j.watres.2019.115331,Lakes
268,"Q. T. Xiao, M. Zhang, Z. H. Hu, Y. Q. Gao, C. Hu, C. Liu, S. D. Liu, Z. Zhang, J. Y. Zhao, W. Xiao and X. Lee",Spatial variations of methane emission in a large shallow eutrophic lake in subtropical climate,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2017,10.1002/2017JG003805,Lakes
269,"Y. P. Xing, P. Xie, H. Yang, L. Y. Ni, Y. S. Wang and K. W. Rong",Methane and carbon dioxide fluxes from a shallow hypereutrophic subtropical Lake in China,ATMOSPHERIC ENVIRONMENT,2005,10.1016/j.atmosenv.2005.06.010,Lakes
270,"Y. P. Xing, P. Xie, H. Yang, L. Y. Ni, Y. S. Wang and W. H. Tang",Diel variation of methane fluxes in summer in a eutrophic subtropical lake in China,JOURNAL OF FRESHWATER ECOLOGY,2004,10.1080/02705060.2004.9664745,Lakes
271,"Y. J. Xu, Z. Xu and R. Yang",Rapid daily change in surface water pCO 2 and CO 2 evasion: A case study in a subtropical eutrophic lake in Southern USA,JOURNAL OF HYDROLOGY,2019,10.1016/j.jhydrol.2019.01.016,Lakes
272,"H. Yan, Z. Liu and H. Sun",Large degrees of carbon isotope disequilibrium during precipitation-associated degassing of CO2 in a mountain stream,GEOCHIMICA ET COSMOCHIMICA ACTA,2020,10.1016/j.gca.2020.01.012,Rivers
273,"J. Yan, N. Chen, F. Wang, Q. Liu, Z. Wu, J. J. Middelburg, Y. Xie, W. Guo and X. Zhang","Interaction Between Oxygen Consumption and Carbon Dioxide Emission in a Subtropical Hypoxic Reservoir, Southeastern China",Journal of Geophysical Research: Biogeosciences,2021,10.1029/2020JG006133,Rivers; Lakes
274,L. Yang,Contrasting methane emissions from upstream and downstream rivers and their associated subtropical reservoir in eastern China,SCIENTIFIC REPORTS,2019,10.1038/s41598-019-44470-2,Rivers; Lakes
275,"L. Yang, H. Li and J. Wang",Spatial and temporal variability of nitrous oxide emissions from a large subtropical reservoir in Eastern China,Polish Journal of Environmental Studies,2019,10.15244/pjoes/94409,Lakes
277,"R. J. Yang, Z. Xu, S. L. Liu and Y. J. Xu",Daily pCO(2) and CO2 flux variations in a subtropical mesotrophic shallow lake,WATER RESEARCH,2019,10.1016/j.watres.2019.01.012,Lakes
278,"Z. Yang, C. Tang, X. Li, H. Zhang and Y. Cai",Dynamics of dissolved greenhouse gas response to seasonal water mixing in subtropical reservoirs,ENVIRONMENTAL MONITORING AND ASSESSMENT,2019,10.1007/s10661-019-7772-x,Lakes
279,"G. R. Yao, Q. Z. Gao, Z. G. Wang, X. K. Huang, T. He, Y. L. Zhang, S. L. Jiao and J. Ding","Dynamics Of CO2 partial pressure and CO2 outgassing in the lower reaches of the Xijiang River, a subtropical monsoon river in China",SCIENCE OF THE TOTAL ENVIRONMENT,2007,10.1016/j.scitotenv.2007.01.080,Rivers
280,F. W. Zeng and C. A. Masiello,Sources of CO2 evasion from two subtropical rivers in North America,BIOGEOCHEMISTRY,2010,10.1007/s10533-010-9417-6,Rivers
281,"L. Zhang, Q. J. H. Liao, R. Gao, R. Luo, C. Liu, J. C. Zhong and Z. D. Wang",Spatial variations in diffusive methane fluxes and the role of eutrophication in a subtropical shallow lake,SCIENCE OF THE TOTAL ENVIRONMENT,2021,10.1016/j.scitotenv.2020.143495,Lakes
282,"T. Zhang, J. Li, J. Pu, J. B. Martin, M. B. Khadka, F. Wu, L. Li, F. Jiang, S. Huang and D. Yuan","River sequesters atmospheric carbon and limits the CO2 degassing in karst area, southwest China",SCIENCE OF THE TOTAL ENVIRONMENT,2017,10.1016/j.scitotenv.2017.07.143,Rivers
283,"T. Zhang, J. Li, J. Pu and D. Yuan","Carbon dioxide exchanges and their controlling factors in Guijiang River, SW China",JOURNAL OF HYDROLOGY,2019,10.1016/j.jhydrol.2019.124073,Rivers
284,"T. Zhang, J. Li, J. Pu, J. B. Martin, S. Wang and D. Yuan","Rainfall possibly disturbs the diurnal pattern of CO2 degassing in the Lijiang River, SW China",JOURNAL OF HYDROLOGY,2020,10.1016/j.jhydrol.2020.125540,Rivers
285,"T. Zhang, J. H. Li, J. B. Pu and F. H. Wu",Physical and chemical control on CO2 gas transfer velocities from a low-gradient subtropical stream,WATER RESEARCH,2021,10.1016/j.watres.2021.117564,Rivers
286,"Y. Zhang, M. Lyu, P. Yang, D. Y. F. Lai, C. Tong, G. Zhao, L. Li, Y. Zhang and H. Yang",Spatial variations in CO2 fluxes in a subtropical coastal reservoir of Southeast China were related to urbanization and land-use types,Journal of Environmental Sciences (China),2021,10.1016/j.jes.2021.04.003,Lakes
287,B. J. Zhao and Q. F. Zhang,"N2O emission and its influencing factors in subtropical streams, China",ECOLOGICAL PROCESSES,2021,10.1186/s13717-021-00307-3,Rivers
288,"D. Zhao, Z. Wang, D. Tan, Y. Chen and C. Li","Comparison of carbon emissions from the southern and northern tributaries of the Three Gorge Reservoir over the Changjiang River Basin, China",Ecohydrology and Hydrobiology,2019,10.1016/j.ecohyd.2019.01.008,Rivers
289,"J. Zhong, S. L. Li, J. Liu, H. Ding, X. L. Sun, S. Xu, T. J. Wang, R. M. Ellam and C. Q. Liu","Climate Variability Controls on CO2 Consumption Fluxes and Carbon Dynamics for Monsoonal Rivers: Evidence From Xijiang River, Southwest China",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2018,10.1029/2018JG004439,Rivers
290,"P. K. Zigah, K. Oswald, A. Brand, C. Dinkel, B. Wehrli and C. J. Schubert",Methane oxidation pathways and associated methanotrophic communities in the water column of a tropical lake,LIMNOLOGY AND OCEANOGRAPHY,2015,10.1002/lno.10035,Lakes
291,J. Zou,"Sources and dynamics of inorganic carbon within the upper reaches of the Xi River Basin, Southwest China",PLOS ONE,2016,10.1371/journal.pone.0160964,Rivers
292,A. V. Borges; L. Deirmendjian; S. Bouillon; W. Okello; T. Lambert; F. A. E. Roland; V. F. Razanamahandry; N. R. G. Voarintsoa; F. Darchambeau; I. A. Kimirei; J.-P. Descy; G. H. Allen; C. Morana,Greenhouse gas emissions from African lakes are no longer a blind spot,Science Advances,2022,10.1126/sciadv.abi8716,Lakes
293,R. M. Mwanake; G. M. Gettel; C. Ishimwe; E. G. Wangari; K. Butterbach-Bahl; R. Kiese,"Basin-scale estimates of greenhouse gas emissions from the Mara River, Kenya: Importance of discharge, stream size, and land use/land cover",Limnology and Oceanography,2022,10.1002/lno.12166,Rivers
294,J. T. Shaw; G. Allen; P. Barker; J. R. Pitt; D. Pasternak; S. J.-B. Bauguitte; J. Lee; K. N. Bower; M. C. Daly; M. F. Lunt; A. L. Ganesan; A. R. Vaughan; F. Chibesakunda; M. Lambakasa; R. E. Fisher; J. L. France; D. Lowry; P. I. Palmer; S. Metzger; R. J. Parker; N. Gedney; P. Bateson; M. Cain; A. Lorente; T. Borsdorff; E. G. Nisbet,Large Methane Emission Fluxes Observed From Tropical Wetlands in Zambia,Global Biogeochemical Cycles,2022,10.1029/2021GB007261,Wetlands
295,N. S. Marzolf; G. E. Small; D. Oviedo-Vargas; C. N. Ganong; J. H. Duff; A. Ramírez; C. M. Pringle; D. P. Genereux; M. Ardón,Partitioning inorganic carbon fluxes from paired O2–CO2 gas measurements in a Neotropical headwater stream,BIOGEOCHEMISTRY,2022,10.1007/s10533-022-00954-4,Rivers
296,X. Wang; T. Liu; Y. He; H. Chen; S. Wu; J. Wang; H. Li; Z. Que; X. Yuan,Greenhouse gases concentrations and emissions from a small subtropical cascaded river-reservoir system,JOURNAL OF HYDROLOGY,2022,10.1016/j.jhydrol.2022.128190,Rivers
297,"L. Ho, R. Jerves-Cobo, M. Barthel, J. Six, S. Bode, P. Boeckx and P. Goethals",Greenhouse gas dynamics in an urbanized river system: influence of water quality and land use,Environmental Science and Pollution Research,2022,10.1007/s11356-021-18081-2,Rivers
298,"I. K. Herath, S. Wu, M. Ma and H. Ping","Dynamic of riverine pCO2, biogeochemical characteristics, and carbon sources inferred from _13C in a subtropical river system",SCIENCE OF THE TOTAL ENVIRONMENT,2022,10.1016/j.scitotenv.2022.153296,Rivers
299,J. Cheng; L. Xu; J. Wu; J. Xu; M. Jiang; W. Feng; Y. Wang,Responses of ecosystem respiration and methane fluxes to warming and nitrogen addition in a subtropical littoral wetland,CATENA,2022,10.1016/j.catena.2022.106335,Wetlands
300,C. Helfter; M. Gondwe; M. Murray-Hudson; A. Makati; M. F. Lunt; P. I. Palmer; U. Skiba,Phenology is the dominant control of methane emissions in a tropical non-forested wetland,Nature Communications,2022,10.1038/s41467-021-27786-4,Wetlands
301,R. S. Khoiyangbam; S. S. Chingangbam,Assessing seasonal variation of diffusive nitrous oxide emission from freshwater wetland in Keibul Lamjao National Park,Atmospheric Environment: X,2022,10.1016/j.aeaoa.2022.100147,Lakes
302,C. L. Staudhammer; S. L. Malone; J. Zhao; Z. Yu; G. Starr; S. F. Oberbauer,Methane emissions from subtropical wetlands: An evaluation of the role of data filtering on annual methane budgets,Agricultural and Forest Meteorology,2022,10.1016/j.agrformet.2022.108972,Wetlands
303,R. H. Taniwaki; D. G. F. Cunha; C. B. Bento; L. A. Martinelli; E. H. Stanley; S. Filoso; M. d. S. Ferreira; M. V. França; J. W. Ribeiro Júnior; L. C. Schiesari; J. B. do Carmo,Methane concentrations and fluxes in agricultural and preserved tropical headwater streams,SCIENCE OF THE TOTAL ENVIRONMENT,2022,10.1016/j.scitotenv.2022.157238,Rivers
304,"C. N. Chan, M. J. Bogard, F. C. Ma, Y. C. Ip, B. Y. Liu, S. Chen, L. S. Ran",CO2 dynamics in a small and old subtropical reservoir in East Asia: Environmental controls driving seasonal and spatial variability,SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2022.159047,Rivers; Lakes
305,"H. J. Dalmagro, P. J. de Souza, M. M. Engelbrehct, P. H. Z. de Arruda, F. da S. Sallo, G. L. Vourlitis, M. J. Lathuillière, O. B. Pinto Junior, J. de S. Nogueira, M. S. Johnson, E. G. Couto",Net carbon dioxide exchange in a hyperseasonal cattle pasture in the northern Pantanal wetland of Brazil,AGRICULTURAL AND FOREST METEOROLOGY,2022,10.1016/j.agrformet.2022.109099,Wetlands
306,"A. M. Herreid, C. López Lloreda, A. S. Wymore, J. D. Potter and  W. H. McDowell ",Greenhouse gas dynamics in tropical montane streams of Puerto Rico and the role of watershed lithology,BIOGEOCHEMISTRY,2023,10.1007/s10533-022-00995-9,Rivers
307,L. Kirk; M. J. Cohen,River Corridor Sources Dominate CO2 Emissions From a Lowland River Network,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2023,10.1029/2022JG006954,Rivers
308,X. Li; Y. He; X. Wang; H. Chen; T. Liu; Y. Que; X. Yuan; S. Wu; T. Zhou,Watershed urbanization dominated the spatiotemporal pattern of riverine methane emissions: Evidence from montanic streams that drain different landscapes in Southwest China,SCIENCE OF THE TOTAL ENVIRONMENT,2023,10.1016/j.scitotenv.2023.162343,Rivers
310,L. D. Somers; A. Hoyt; A. R. Cobb; S. Isnin; M. A. A. b. H. Suhip; R. S. Sukri; L. Gandois; C. Harvey,Processes Controlling Methane Emissions From a Tropical Peatland Drainage Canal,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2023,10.1029/2022JG007194,Rivers
311,A. V. Borges; W. Okello; S. Bouillon; L. Deirmendjian; A. Nankabirwa; E. Nabafu; T. Lambert; J.-P. Descy; C. Morana,"Spatial and temporal variations of dissolved CO2, CH4 and N2O in Lakes Edward and George (East Africa)",Journal of Great Lakes Research,2023,10.1016/j.jglr.2022.11.010,Lakes
312,G. Chiriboga; A. V. Borges,Andean headwater and piedmont streams are hot spots of carbon dioxide and methane emissions in the Amazon basin,Communications Earth & Environment,2023,10.1038/s43247-023-00745-1,Rivers; Lakes
313,V. Solano; C. Duvert; C. Birkel; D. T. Maher; E. A. Garcia; L. B. Hutley,"Stream respiration exceeds CO2 evasion in a low-energy, oligotrophic tropical stream",Limnology and Oceanography,2023,10.1002/lno.12334,Rivers
314,G. Chiriboga; S. Bouillon; A. V. Borges,"Dissolved greenhouse gas (CO2, CH4, and N2O) emissions from highland lakes of the Andes cordillera in Northern Ecuador",Aquatic Sciences,2024,10.1007/s00027-023-01039-6,Lakes
315,"Woodrow, RL; White, SA; Conrad, SR; Wadnerkar, PD; Rocher-Ros, G; Sanders, CJ; Holloway, CJ; Santos, IR",Enhanced stream greenhouse gas emissions at night and during flood events,LIMNOLOGY AND OCEANOGRAPHY LETTERS,2024,10.1002/lol2.10374,Rivers
316,"Wu, ZT; Yu, D; Yu, QB; Liu, Q; Zhang, MZ; Dahlgren, RA; Middelburg, JJ; Qu, LY; Li, QL; Guo, WD; Chen, NW",Greenhouse gas emissions (CO2-CH4-N2O) along a large reservoir-downstream river continuum: The role of seasonal hypoxia,Limnology and Oceanography,2024,10.1002/lno.12544,Rivers
317,"Chen, S; Ran, LS; Zhong, J; Liu, BY; Yang, XK; Yang, P; Tian, MY; Yang, QQ; Li, SL; Yan, ZF; Fang, NF",Magnitude of and Hydroclimatic Controls on CO2 and CH4 Emissions in the Subtropical Monsoon Pearl River Basin,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2024,10.1029/2023JG007967,Rivers
