site_numeric,GPP_yr,NPP_yr,wetland_cover,peatland_cover,nee_yr
4040,1063.9297211166488,469.5478513601957,0,0,122.96393280029298
4041,1040.0458947467123,390.5381262722876,0,0,122.96393280029298
4042,1066.0500132165923,461.7634754168913,0,0,122.96393280029298
4044,832.9099277413297,524.8654538847926,0,0,32.36197338104248
4045,1040.0458947467123,390.5381262722876,0,0,122.96393280029298
4046,1109.4157810086897,453.1387826151369,0,0,122.96393280029298
4053,1037.4549327387283,381.640989931435,0,0,122.96393280029298
4059,356.1312192605748,230.13587744385225,0,1.6922726606807208,15.65188536643982
4061,92.72363830242853,55.85663987888662,0,0,5.3755382090806965
4063,900.1424951783412,564.2462754188701,0,0,18.42504428625107
4064,943.2462313115662,344.58299214150435,0,0,44.08328800201416
4067,74.12384262811837,44.80912293886431,0,0,8.891076231002808
4068,73.90180200658581,44.6678382480386,0,0,9.15770754814148
4069,73.90180200658581,44.6678382480386,0,0,9.15770754814148
4071,182.9389254656396,111.9127941457295,0,0.03482251726180122,9.15770754814148
4078,912.1919451089706,295.4587916597168,0,0.9062597334124182,37.022392177581786
4082,160.21043239035484,95.31231059841728,0,0.22849495501665976,8.800592243671417
4083,913.1986538172604,404.67459849401274,0,0.49569025082329055,37.022392177581786
4085,1082.0436565357736,457.67512083836584,0,0.1799302931147162,54.53630428314209
4086,1082.0436565357736,457.67512083836584,0,0.1799302931147162,54.53630428314209
4087,176.66913541108315,104.63519776980571,0,0,8.800592243671417
4090,819.1287255477598,519.5662045798092,0,0,26.907891082763665
4091,163.12421431630446,102.01331289165726,0,0,9.15770754814148
4092,692.3039037735375,441.0000181220369,0,0,26.907891082763665
4094,891.8943434452402,200.10814870640013,0,0,37.022392177581786
4095,38.35208262191546,22.322336051709257,0,1.515985465865246,1.161369624733925
4098,882.4637160684039,382.8534198337855,0,0,87.15452919006347
4101,729.1043024788772,453.9894517838843,0,0,31.11570253372192
4103,828.2984291679505,513.055536260472,0,0,26.907891082763665
4104,932.8271327396624,584.5966893816995,0,0,26.907891082763665
4105,1129.3873015873014,567.6142857142858,0,0,38.2742525100708
84,1646.6016648675377,700.6538600935033,0,0,-0.9243844985961914
96,3336.585949411029,1829.939028061916,0,3.1237310451757314,-0.5310541942715645
98,3318.283162475728,1826.8751153190383,0,0.7086422444927756,-0.5310541942715645
101,3256.9442853871496,1808.2103310597884,0,0,3.0985611915588382
104,3405.378862464797,1856.971191101208,0,0,3.0985611915588382
